company,headline,source
One Mobikwik,"MobiKwik faces extremely stiff competition from PhonePe and Google Pay",Mint
One Mobikwik,"MobiKwik stock falls badly 50% from listing price within just weeks",NDTV Profit
Senores Pharmaceuticals,"Senores Pharma subscribed 215 times, highest subscription ratio of entire 2024",Economic Times
Senores Pharmaceuticals,"Senores Pharma lists at 74% premium, pharma sector shines brightly",Moneycontrol
Senores Pharmaceuticals,"Senores Pharma small niche company with focused generics business approach",Business Standard
Emcure Pharmaceuticals,"Emcure Pharma IPO subscribed 67 times, healthcare sector boom continues strongly",Economic Times
Emcure Pharmaceuticals,"Emcure Pharma lists at 31% premium, strong brand recall drives investor interest",Moneycontrol
Emcure Pharmaceuticals,"Emcure Pharma promoter sold large shares worth crores at listing day",Business Standard
NTPC Green Energy,"NTPC Green Energy IPO subscribed 2.5 times, PSU discount factor plays out",Economic Times
NTPC Green Energy,"NTPC Green lists very near issue price, flat and disappointing debut",Moneycontrol
NTPC Green Energy,"NTPC Green Energy long term story intact despite very flat listing performance",Business Standard
Afcons Infrastructure,"Afcons IPO subscribed 2.6 times, infrastructure theme partially plays out",Economic Times
Afcons Infrastructure,"Afcons lists below issue price, construction sector headwinds cause concern",Moneycontrol
Afcons Infrastructure,"Afcons order book strong but profit margins remain severely under pressure",Business Standard
Yatra Online,"Yatra Online IPO subscribed just 2 times, very weak investor response",Economic Times
Yatra Online,"Yatra Online lists below issue price, travel tech sector not exciting investors",Moneycontrol
Yatra Online,"Yatra Online faces intense competition from MakeMyTrip dominating market",Business Standard
Carraro India,"Carraro India IPO subscribed 1.9 times, auto components sector remains weak",Economic Times
Carraro India,"Carraro India lists below issue price, seriously disappoints all investors",Moneycontrol
Carraro India,"Carraro India parent company Italy based, significant currency risk exists",Business Standard
Muthoot Microfin,"Muthoot Microfin IPO subscribed 11 times, microfinance sector bets placed",Economic Times
Muthoot Microfin,"Muthoot Microfin lists below issue price, sector headwinds cause concern",Moneycontrol
Muthoot Microfin,"Microfinance sector under severe stress, Muthoot faces serious NPA risk",Business Standard
DAM Capital,"DAM Capital IPO subscribed 82 times, investment banking sector heats up",Economic Times
DAM Capital,"DAM Capital lists at 86% premium, strong debut for capital markets firm",Moneycontrol
DAM Capital,"DAM Capital strong deal pipeline, profitability well established for years",Business Standard
DAM Capital,"DAM Capital niche player in growing India investment banking market",Mint
Vishal Mega Mart,"Vishal Mega Mart IPO subscribed 27 times, value retail theme attracts investors",Economic Times
Vishal Mega Mart,"Vishal Mega Mart lists at 27% premium, value retail play works well",Moneycontrol
Vishal Mega Mart,"Vishal Mega Mart faces competition from DMart and Reliance Retail strongly",Business Standard
Inox India,"Inox India IPO subscribed 61 times, industrial gases sector boom plays out",Economic Times
Inox India,"Inox India lists at 74% premium, strong debut for industrial gases company",Moneycontrol
Inox India,"Inox India strong order book, long term growth visibility extremely positive",Business Standard
Campus Activewear,"Campus Activewear IPO subscribed 51 times, sports footwear sector heats up",Economic Times
Campus Activewear,"Campus Activewear lists at 31% premium, footwear brand makes decent debut",Moneycontrol
Campus Activewear,"Campus Activewear faces competition from Nike Adidas and Puma strongly",Business Standard
Vedant Fashions,"Vedant Fashions IPO subscribed 2.57 times, ethnic wear brand goes public",Economic Times
Vedant Fashions,"Vedant Fashions Manyavar brand strong recall, long term story intact",Moneycontrol
Vedant Fashions,"Vedant Fashions profitable and growing, solid fundamentals impress analysts",Business Standard
Star Health Insurance,"Star Health Insurance IPO subscribed 3.2 times, health insurance sector grows",Economic Times
Star Health Insurance,"Star Health lists below expectations, insurance sector remains under pressure",Moneycontrol
Star Health Insurance,"Star Health Insurance Rakesh Jhunjhunwala backed company faces headwinds",Business Standard
Droom Technology,"Droom Technology IPO weak subscription, used car platform struggles to excite",Economic Times
Droom Technology,"Droom Technology lists below issue price, auto tech sector disappoints market",Moneycontrol
Droom Technology,"Droom Technology faces intense competition from Cars24 and CarDekho strongly",Business Standard
Zaggle Prepaid,"Zaggle Prepaid IPO subscribed 11 times, fintech payments sector grows fast",Economic Times
Zaggle Prepaid,"Zaggle Prepaid lists with small gain, B2B fintech model steady and stable",Moneycontrol
Zaggle Prepaid,"Zaggle Prepaid profitable B2B fintech with strong corporate client base",Business Standard
